,var_name,range_key,n_unq_vals,info_from_api
435,FMILSP,False,2,True
436,ACCESS,False,4,True
437,FPINCP,False,2,True
438,FOD1P,False,151,True
439,FMARP,False,2,True
440,SOCP,False,479,True
441,FSMOCP,False,3,True
442,FDOUTP,False,2,True
443,PERNP,True,668,True
444,SCH,False,4,True
445,TEL,False,4,True
446,TEN,False,5,True
